anio,municipio_id,municipio_nombre,unidades_de_servicio_nivel_inicial*,unidades_de_servicio_nivel_primario,unidades_de_servicio_nivel_secundario**,sector_de_gestión_estatal***,sector_de_gestión_privada****,matricula_sexo_femenino*****,matricula_sexo_masculino******,matricula_nivel_inicial,matricula_nivel_primario*******,matricula_nivel_secundario********
2016,06161,Carmen de Areco,17,19,6,55,1,2960,2852,1005,1638,1248
2017,06161,Carmen de Areco,17,19,6,54,1,3177,2856,1024,1645,1297
2018,06161,Carmen de Areco,17,19,6,54,1,3065,2949,1034,1637,1350
2019,06161,Carmen de Areco,17,19,6,53,1,3204,3017,1034,1633,1373
2020,06161,Carmen de Areco,17,19,6,53,1,3042,3034,1017,1652,1437
2021,06161,Carmen de Areco,17,19,6,53,2,3055,2830,1000,1650,1454
2022,06161,Carmen de Areco,17,19,7,55,2,3234,2988,991,1637,1430
2023,06161,Carmen de Areco,17,19,7,55,2,3476,2953,982,1650,1417
2011,06168,Castelli,7,19,2,32,3,1234,1181,383,916,670
2012,06168,Castelli,7,19,2,32,3,1218,1208,406,865,723
2013,06168,Castelli,7,19,2,33,3,1226,1155,391,818,695
2014,06168,Castelli,7,19,2,33,3,1173,1147,397,807,716
2015,06168,Castelli,7,19,2,34,3,1318,1273,397,810,728
2016,06168,Castelli,7,19,2,34,3,1314,1289,436,775,728
2017,06168,Castelli,7,19,3,35,3,1276,1292,446,774,747
2018,06168,Castelli,7,15,3,30,3,1340,1257,472,741,780
2019,06168,Castelli,7,16,3,30,3,1334,1286,495,787,735
2020,06168,Castelli,7,16,3,33,3,1534,1364,476,804,739
